

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines
069.491  000.046  000.046: sourcing /usr/share/nvim/runtime/plugin/shada.vim
069.515  000.012  000.012: sourcing /usr/share/nvim/runtime/plugin/spellfile.vim
069.596  000.071  000.071: sourcing /usr/share/nvim/runtime/plugin/tarPlugin.vim
069.653  000.045  000.045: sourcing /usr/share/nvim/runtime/plugin/tohtml.vim
069.670  000.009  000.009: sourcing /usr/share/nvim/runtime/plugin/tutor.vim
069.767  000.088  000.088: sourcing /usr/share/nvim/runtime/plugin/zipPlugin.vim
070.135  000.028  000.028: require('mason')
070.244  000.069  000.069: require('mason.api.command')
071.515  001.058  001.058: require('nvim-tree.notify')
071.520  001.091  000.032: require('nvim-tree.events')
071.606  000.030  000.030: require('nvim-tree.log')
071.668  000.022  000.022: require('nvim-tree.iterators.node-iterator')
071.689  000.082  000.060: require('nvim-tree.utils')
071.729  000.039  000.039: require('nvim-tree.git.utils')
071.758  000.028  000.028: require('nvim-tree.git.runner')
071.785  000.026  000.026: require('nvim-tree.watcher')
071.787  000.239  000.033: require('nvim-tree.git')
071.813  000.025  000.025: require('nvim-tree.explorer.watch')
071.836  000.022  000.022: require('nvim-tree.explorer.common')
071.883  000.023  000.023: require('nvim-tree.explorer.node-builders')
071.907  000.023  000.023: require('nvim-tree.explorer.sorters')
071.928  000.020  000.020: require('nvim-tree.explorer.filters')
072.013  000.058  000.058: require('nvim-tree.view')
072.016  000.087  000.030: require('nvim-tree.live-filter')
072.019  000.183  000.029: require('nvim-tree.explorer.explore')
072.050  000.030  000.030: require('nvim-tree.explorer.reload')
072.053  000.531  000.033: require('nvim-tree.explorer')
072.055  001.645  000.023: require('nvim-tree.core')
072.083  000.027  000.027: require('nvim-tree.diagnostics')
072.106  000.022  000.022: require('nvim-tree.renderer.components.padding')
072.129  000.023  000.023: require('nvim-tree.renderer.components.icons')
072.163  000.033  000.033: require('nvim-tree.renderer.components.full-name')
072.184  000.021  000.021: require('nvim-tree.renderer.help')
072.220  000.035  000.035: require('nvim-tree.renderer.components.git')
072.252  000.031  000.031: require('nvim-tree.renderer.builder')
072.276  000.023  000.023: require('nvim-tree.marks')
072.278  001.896  000.038: require('nvim-tree.renderer')
072.306  000.023  000.023: require('nvim-tree.actions.tree-modifiers.collapse-all')
072.326  000.020  000.020: require('nvim-tree.actions.root.dir-up')
072.350  000.023  000.023: require('nvim-tree.actions.root.change-dir')
072.372  000.021  000.021: require('nvim-tree.actions.reloaders.reloaders')
072.407  000.021  000.021: require('nvim-tree.actions.finders.find-file')
072.409  002.064  000.061: require('nvim-tree.lib')
072.440  000.030  000.030: require('nvim-tree.colors')
072.477  000.036  000.036: require('nvim-tree.legacy')
072.511  000.033  000.033: require('nvim-tree.actions.fs.copy-paste')
072.589  000.053  000.053: require('nvim-tree.actions.tree-modifiers.expand-all')
072.616  000.026  000.026: require('nvim-tree.actions.tree-modifiers.toggles')
072.643  000.025  000.025: require('nvim-tree.actions.fs.create-file')
072.665  000.021  000.021: require('nvim-tree.actions.fs.rename-file')
072.695  000.029  000.029: require('nvim-tree.actions.fs.trash')
072.726  000.031  000.031: require('nvim-tree.actions.fs.remove-file')
072.748  000.020  000.020: require('nvim-tree.actions.moves.parent')
072.769  000.019  000.019: require('nvim-tree.actions.moves.sibling')
072.789  000.020  000.020: require('nvim-tree.actions.moves.item')
072.819  000.022  000.022: require('nvim-tree.actions.finders.search-node')
072.840  000.020  000.020: require('nvim-tree.actions.node.run-command')
072.864  000.023  000.023: require('nvim-tree.actions.node.file-popup')
072.890  000.025  000.025: require('nvim-tree.actions.node.system-open')
072.914  000.021  000.021: require('nvim-tree.marks.bulk-move')
072.916  000.403  000.049: require('nvim-tree.actions.dispatch')
072.929  002.681  000.115: require('nvim-tree')
074.276  000.055  000.055: require('nvim-tree.actions')
074.313  000.033  000.033: require('nvim-tree.actions.node.open-file')
074.993  000.026  000.026: require('nvim-tree.marks.navigation')
074.996  000.080  000.054: require('nvim-tree.api')
075.004  000.126  000.046: require('nvim-tree.keymap')
076.625  000.090  000.090: require('indent_blankline/utils')
076.629  000.153  000.063: require('indent_blankline')
076.751  000.066  000.066: require('illuminate')
076.796  000.043  000.043: require('illuminate.config')
076.897  000.037  000.037: require('luasnip.loaders.util')
076.901  000.079  000.042: require('luasnip.loaders.from_lua')
077.082  000.035  000.035: require('luasnip.nodes.snippetProxy')
077.088  000.080  000.045: require('luasnip.loaders.from_vscode')
081.159  000.059  000.059: require('luasnip.loaders.from_snipmate')
081.644  000.046  000.046: require('lir')
081.766  000.081  000.081: require('alpha')
081.926  000.038  000.038: require('nvim-autopairs._log')
081.976  000.048  000.048: require('nvim-autopairs.utils')
082.091  000.046  000.046: require('nvim-autopairs.conds')
082.096  000.087  000.041: require('nvim-autopairs.rule')
082.097  000.121  000.034: require('nvim-autopairs.rules.basic')
082.107  000.277  000.070: require('nvim-autopairs')
082.332  000.071  000.071: require('nvim-autopairs.fastwrap')
082.663  000.057  000.057: require('nvim-autopairs.ts-conds')
082.665  000.099  000.042: require('nvim-autopairs.rules.ts_basic')
082.775  000.109  000.109: require('vim.treesitter.highlighter')
083.321  000.063  000.063: require('nvim-autopairs.completion.handlers')
083.327  000.122  000.059: require('nvim-autopairs.completion.cmp')
091.008  000.459  000.459: require('dap.utils')
091.139  000.791  000.332: require('dap')
091.849  000.222  000.222: require('dapui.config')
091.855  000.340  000.118: require('dapui.util')
091.910  000.031  000.031: require('dapui.render.canvas')
091.936  000.025  000.025: require('dapui.render.loop')
091.937  000.081  000.025: require('dapui.render')
091.987  000.049  000.049: require('dapui.windows.layout')
091.990  000.698  000.228: require('dapui.windows')
091.997  000.856  000.158: require('dapui')
092.394  000.118  000.118: require('dapui.config.highlights')
092.518  000.046  000.046: require('dapui.state')
092.561  000.036  000.036: require('dapui.elements.repl')
092.673  000.040  000.040: require('dapui.components.variables')
092.675  000.089  000.049: require('dapui.components.hover')
092.677  000.113  000.025: require('dapui.elements.hover')
092.705  000.026  000.026: require('dapui.elements.watches')
092.741  000.034  000.034: require('dapui.components.watches')
092.788  000.024  000.024: require('dapui.elements.stacks')
092.977  000.045  000.045: require('dapui.components.frames')
092.979  000.190  000.145: require('dapui.components.threads')
093.029  000.046  000.046: require('dapui.elements.breakpoints')
093.114  000.030  000.030: require('dapui.components.buf_breakpoints')
093.116  000.085  000.055: require('dapui.components.breakpoints')
093.146  000.023  000.023: require('dapui.elements.scopes')
093.172  000.025  000.025: require('dapui.components.scopes')
